date,symbol,decision
2021-04-22,AXISBANK,EXIT
2021-04-22,BAJAJ-AUTO,EXIT
2021-04-22,BAJFINANCE,EXIT
2021-04-22,BEL,EXIT
2021-04-22,BHARTIARTL,EXIT
2021-04-22,COALINDIA,EXIT
2021-04-22,EICHERMOT,EXIT
2021-04-22,GRASIM,REDUCE
2021-04-22,HDFCBANK,EXIT
2021-04-22,ICICIBANK,EXIT
2021-04-22,ITC,REDUCE
2021-04-22,INDIGO,EXIT
2021-04-22,KOTAKBANK,EXIT
2021-04-22,LT,EXIT
2021-04-22,M&M,EXIT
2021-04-22,MARUTI,EXIT
2021-04-22,NTPC,REDUCE
2021-04-22,NESTLEIND,EXIT
2021-04-22,ONGC,REDUCE
2021-04-22,POWERGRID,REDUCE
2021-04-22,RELIANCE,REDUCE
2021-04-22,SHRIRAMFIN,EXIT
2021-04-22,SBIN,EXIT
2021-04-22,TECHM,REDUCE
2021-04-22,TITAN,REDUCE
2021-04-22,TRENT,REDUCE
2021-04-22,ULTRACEMCO,EXIT
2021-04-23,ITC,EXIT
2021-04-23,NTPC,HOLD
2021-04-23,POWERGRID,HOLD
2021-04-23,SHRIRAMFIN,HOLD
2021-04-23,TCS,REDUCE
2021-04-26,GRASIM,HOLD
2021-04-26,HCLTECH,EXIT
2021-04-26,NESTLEIND,REDUCE
2021-04-26,SHRIRAMFIN,EXIT
2021-04-26,TECHM,EXIT
2021-04-26,ULTRACEMCO,HOLD
2021-04-27,BAJAJ-AUTO,REDUCE
2021-04-27,HDFCLIFE,REDUCE
2021-04-27,INDIGO,HOLD
2021-04-27,NESTLEIND,EXIT
2021-04-27,TCS,HOLD
2021-04-27,TITAN,HOLD
2021-04-27,ULTRACEMCO,REDUCE
2021-04-28,BAJAJ-AUTO,HOLD
2021-04-28,BAJFINANCE,HOLD
2021-04-28,BHARTIARTL,REDUCE
2021-04-28,HDFCBANK,REDUCE
2021-04-28,ICICIBANK,HOLD
2021-04-28,SHRIRAMFIN,HOLD
2021-04-28,TECHM,REDUCE
2021-04-29,AXISBANK,HOLD
2021-04-29,BHARTIARTL,EXIT
2021-04-29,RELIANCE,EXIT
2021-04-30,AXISBANK,REDUCE
2021-04-30,COALINDIA,REDUCE
2021-04-30,HDFCBANK,EXIT
2021-04-30,HDFCLIFE,EXIT
2021-04-30,ICICIBANK,REDUCE
2021-04-30,ONGC,HOLD
2021-04-30,SHRIRAMFIN,EXIT
2021-04-30,TCS,REDUCE
2021-04-30,TECHM,EXIT
2021-05-03,AXISBANK,EXIT
2021-05-03,BHARTIARTL,HOLD
2021-05-03,HDFCLIFE,REDUCE
2021-05-03,TITAN,EXIT
2021-05-03,ULTRACEMCO,HOLD
2021-05-04,BEL,HOLD
2021-05-04,ICICIBANK,EXIT
2021-05-04,TCS,HOLD
2021-05-04,TECHM,REDUCE
2021-05-05,AXISBANK,HOLD
2021-05-05,ICICIBANK,REDUCE
2021-05-05,NESTLEIND,REDUCE
2021-05-05,TECHM,EXIT
2021-05-05,TRENT,HOLD
2021-05-06,COALINDIA,EXIT
2021-05-06,ICICIBANK,HOLD
2021-05-06,POWERGRID,REDUCE
2021-05-06,TECHM,REDUCE
2021-05-06,TITAN,HOLD
2021-05-06,TRENT,REDUCE
2021-05-07,COALINDIA,HOLD
2021-05-07,NTPC,REDUCE
2021-05-07,TRENT,EXIT
2021-05-10,NTPC,HOLD
2021-05-10,NESTLEIND,HOLD
2021-05-10,POWERGRID,HOLD
2021-05-10,TATACONSUM,REDUCE
2021-05-10,TECHM,HOLD
2021-05-10,TITAN,REDUCE
2021-05-10,ULTRACEMCO,REDUCE
2021-05-11,AXISBANK,EXIT
2021-05-11,SBIN,REDUCE
2021-05-11,ULTRACEMCO,HOLD
2021-05-12,ICICIBANK,REDUCE
2021-05-12,NESTLEIND,REDUCE
2021-05-12,TATACONSUM,HOLD
2021-05-12,TECHM,EXIT
2021-05-12,ULTRACEMCO,REDUCE
2021-05-14,ADANIPORTS,REDUCE
2021-05-14,HCLTECH,REDUCE
2021-05-14,ITC,HOLD
2021-05-14,LT,HOLD
2021-05-14,NESTLEIND,HOLD
2021-05-14,SBIN,EXIT
2021-05-14,TECHM,REDUCE
2021-05-14,TITAN,HOLD
2021-05-14,ULTRACEMCO,HOLD
2021-05-17,ADANIPORTS,HOLD
2021-05-17,AXISBANK,REDUCE
2021-05-17,HCLTECH,EXIT
2021-05-17,ICICIBANK,HOLD
2021-05-17,LT,EXIT
2021-05-17,SHRIRAMFIN,HOLD
2021-05-17,SBIN,HOLD
2021-05-17,TECHM,EXIT
2021-05-17,TRENT,REDUCE
2021-05-18,BHARTIARTL,EXIT
2021-05-18,EICHERMOT,REDUCE
2021-05-18,HDFCBANK,HOLD
2021-05-18,LT,HOLD
2021-05-18,TECHM,REDUCE
2021-05-19,AXISBANK,HOLD
2021-05-19,HDFCBANK,EXIT
2021-05-19,HDFCLIFE,EXIT
2021-05-19,ITC,REDUCE
2021-05-19,LT,REDUCE
2021-05-19,ULTRACEMCO,REDUCE
2021-05-20,AXISBANK,REDUCE
2021-05-20,HDFCLIFE,REDUCE
2021-05-20,INFY,REDUCE
2021-05-20,M&M,REDUCE
2021-05-20,ULTRACEMCO,HOLD
2021-05-21,AXISBANK,HOLD
2021-05-21,GRASIM,REDUCE
2021-05-21,HDFCBANK,HOLD
2021-05-21,INFY,HOLD
2021-05-21,LT,HOLD
2021-05-21,TCS,REDUCE
2021-05-24,ITC,HOLD
2021-05-24,INFY,REDUCE
2021-05-24,TATACONSUM,REDUCE
2021-05-25,HCLTECH,REDUCE
2021-05-25,HDFCLIFE,EXIT
2021-05-25,TCS,HOLD
2021-05-25,TATACONSUM,HOLD
2021-05-25,TECHM,HOLD
2021-05-25,ULTRACEMCO,REDUCE
2021-05-26,GRASIM,HOLD
2021-05-26,INFY,HOLD
2021-05-26,ULTRACEMCO,HOLD
2021-05-27,ADANIPORTS,REDUCE
2021-05-27,KOTAKBANK,REDUCE
2021-05-28,ADANIPORTS,HOLD
2021-05-28,HDFCLIFE,REDUCE
2021-05-28,M&M,HOLD
2021-05-28,RELIANCE,REDUCE
2021-05-31,EICHERMOT,HOLD
2021-05-31,HDFCLIFE,EXIT
2021-05-31,M&M,REDUCE
2021-05-31,TRENT,HOLD
2021-06-01,EICHERMOT,REDUCE
2021-06-01,HCLTECH,HOLD
2021-06-01,HINDUNILVR,REDUCE
2021-06-02,EICHERMOT,HOLD
2021-06-02,HCLTECH,REDUCE
2021-06-02,HDFCLIFE,REDUCE
2021-06-02,ITC,REDUCE
2021-06-03,HDFCLIFE,HOLD
2021-06-03,RELIANCE,HOLD
2021-06-04,RELIANCE,REDUCE
2021-06-07,BHARTIARTL,REDUCE
2021-06-07,HCLTECH,HOLD
2021-06-07,ITC,HOLD
2021-06-14,ADANIPORTS,EXIT
2021-06-14,RELIANCE,HOLD
2021-06-15,HINDUNILVR,HOLD
2021-06-16,BHARTIARTL,EXIT
2021-06-16,KOTAKBANK,EXIT
2021-06-17,EICHERMOT,REDUCE
2021-06-17,HINDALCO,EXIT
2021-06-17,MAXHEALTH,REDUCE
2021-06-18,EICHERMOT,HOLD
2021-06-18,JSWSTEEL,REDUCE
2021-06-18,M&M,EXIT
2021-06-18,MAXHEALTH,HOLD
2021-06-18,SHRIRAMFIN,REDUCE
2021-06-21,BHARTIARTL,REDUCE
2021-06-21,KOTAKBANK,REDUCE
2021-06-22,BHARTIARTL,EXIT
2021-06-22,KOTAKBANK,EXIT
2021-06-23,MARUTI,HOLD
2021-06-23,SUNPHARMA,REDUCE
2021-06-24,APOLLOHOSP,REDUCE
2021-06-24,M&M,REDUCE
2021-06-25,APOLLOHOSP,HOLD
2021-06-25,SUNPHARMA,HOLD
2021-06-28,HINDALCO,REDUCE
2021-06-29,COALINDIA,REDUCE
2021-06-29,HINDALCO,EXIT
2021-06-29,JSWSTEEL,HOLD
2021-06-29,M&M,EXIT
2021-06-30,COALINDIA,HOLD
2021-06-30,ITC,REDUCE
2021-06-30,JSWSTEEL,REDUCE
2021-06-30,MAXHEALTH,REDUCE
2021-06-30,SHRIRAMFIN,EXIT
2021-07-01,JSWSTEEL,EXIT
2021-07-01,MAXHEALTH,HOLD
2021-07-01,SHRIRAMFIN,REDUCE
2021-07-05,ADANIENT,REDUCE
2021-07-05,HDFCLIFE,REDUCE
2021-07-05,HINDALCO,HOLD
2021-07-05,ITC,HOLD
2021-07-05,M&M,REDUCE
2021-07-06,ADANIENT,HOLD
2021-07-06,HDFCLIFE,HOLD
2021-07-06,ITC,REDUCE
2021-07-06,M&M,EXIT
2021-07-06,POWERGRID,REDUCE
2021-07-06,SHRIRAMFIN,HOLD
2021-07-06,SUNPHARMA,REDUCE
2021-07-07,ITC,HOLD
2021-07-07,JSWSTEEL,REDUCE
2021-07-07,KOTAKBANK,REDUCE
2021-07-07,POWERGRID,HOLD
2021-07-07,SUNPHARMA,HOLD
2021-07-08,COALINDIA,REDUCE
2021-07-08,HINDALCO,EXIT
2021-07-08,ITC,REDUCE
2021-07-08,JSWSTEEL,EXIT
2021-07-08,KOTAKBANK,EXIT
2021-07-08,MARUTI,REDUCE
2021-07-08,SUNPHARMA,REDUCE
2021-07-09,COALINDIA,HOLD
2021-07-09,HINDALCO,HOLD
2021-07-09,JSWSTEEL,REDUCE
2021-07-09,MARUTI,HOLD
2021-07-09,POWERGRID,REDUCE
2021-07-09,RELIANCE,EXIT
2021-07-09,WIPRO,REDUCE
2021-07-12,ADANIENT,REDUCE
2021-07-12,BAJAJ-AUTO,REDUCE
2021-07-12,TCS,REDUCE
2021-07-13,JSWSTEEL,HOLD
2021-07-13,RELIANCE,HOLD
2021-07-13,SUNPHARMA,HOLD
2021-07-14,ITC,HOLD
2021-07-14,MARUTI,REDUCE
2021-07-14,RELIANCE,REDUCE
2021-07-14,TCS,HOLD
2021-07-14,WIPRO,HOLD
2021-07-15,COALINDIA,REDUCE
2021-07-15,ONGC,REDUCE
2021-07-15,RELIANCE,EXIT
2021-07-16,ADANIENT,EXIT
2021-07-16,BHARTIARTL,REDUCE
2021-07-16,COALINDIA,EXIT
2021-07-16,EICHERMOT,EXIT
2021-07-16,MARUTI,EXIT
2021-07-16,POWERGRID,HOLD
2021-07-16,RELIANCE,HOLD
2021-07-16,TCS,REDUCE
2021-07-19,HDFCBANK,REDUCE
2021-07-19,HDFCLIFE,REDUCE
2021-07-19,SHRIRAMFIN,REDUCE
2021-07-20,BHARTIARTL,EXIT
2021-07-20,HDFCBANK,EXIT
2021-07-20,HDFCLIFE,EXIT
2021-07-20,HINDALCO,EXIT
2021-07-20,INDIGO,REDUCE
2021-07-20,JSWSTEEL,REDUCE
2021-07-20,MARUTI,REDUCE
2021-07-20,ONGC,EXIT
2021-07-20,POWERGRID,REDUCE
2021-07-20,SUNPHARMA,REDUCE
2021-07-20,TCS,HOLD
2021-07-22,ADANIENT,REDUCE
2021-07-22,BHARTIARTL,REDUCE
2021-07-22,CIPLA,REDUCE
2021-07-22,HINDALCO,HOLD
2021-07-22,HINDUNILVR,REDUCE
2021-07-22,JSWSTEEL,HOLD
2021-07-22,MARUTI,HOLD
2021-07-22,ONGC,REDUCE
2021-07-22,POWERGRID,HOLD
2021-07-22,SUNPHARMA,HOLD
2021-07-23,ADANIENT,EXIT
2021-07-23,BHARTIARTL,HOLD
2021-07-23,HDFCLIFE,REDUCE
2021-07-23,MARUTI,REDUCE
2021-07-26,ADANIENT,REDUCE
2021-07-26,BHARTIARTL,REDUCE
2021-07-26,HDFCLIFE,EXIT
2021-07-26,RELIANCE,EXIT
2021-07-26,TCS,REDUCE
2021-07-27,AXISBANK,REDUCE
2021-07-27,DRREDDY,EXIT
2021-07-27,HDFCLIFE,REDUCE
2021-07-27,MARUTI,HOLD
2021-07-27,POWERGRID,REDUCE
2021-07-28,ADANIENT,EXIT
2021-07-28,BHARTIARTL,HOLD
2021-07-28,MARUTI,EXIT
2021-07-29,ADANIENT,REDUCE
2021-07-29,HDFCLIFE,EXIT
2021-07-29,POWERGRID,EXIT
2021-07-30,ASIANPAINT,REDUCE
2021-07-30,AXISBANK,EXIT
2021-07-30,ITC,REDUCE
2021-07-30,POWERGRID,REDUCE
2021-08-02,AXISBANK,REDUCE
2021-08-02,HDFCLIFE,REDUCE
2021-08-02,ITC,HOLD
2021-08-03,ASIANPAINT,HOLD
