,equity,benchmark
2021-04-22,1007341.8785255025,999999.9999999999
2021-04-23,1002833.5873039418,997819.8054076714
2021-04-26,1006249.3005122385,1006989.7433053295
2021-04-27,1010360.0025511535,1018999.2065653277
2021-04-28,1011898.1835261668,1031808.3025770406
2021-04-29,1017506.3349997877,1033032.3025390472
2021-04-30,1015403.3900429177,1019147.5580009439
2021-05-03,1021071.7114881568,1021694.5662080866
2021-05-04,1017787.891415588,1013880.5588220686
2021-05-05,1021342.1329369307,1023157.6349513084
2021-05-06,1024288.1690746455,1030485.3748264436
2021-05-07,1029260.2824012695,1035529.8066046252
2021-05-10,1034958.0658942036,1044333.0113820082
2021-05-11,1033578.7924712051,1042053.8890010893
2021-05-12,1026340.2661295487,1033456.8307384173
2021-05-14,1022223.7896020293,1028033.1891863957
2021-05-17,1025661.8337912087,1044514.2850841284
2021-05-18,1030053.3834117667,1058279.4952316242
2021-05-19,1029981.7607721803,1055798.492546568
2021-05-20,1025655.8586963217,1049818.4727400816
2021-05-21,1028089.3439991036,1064770.574867045
2021-05-24,1027295.8030935045,1068446.8409636386
2021-05-25,1029916.2442467865,1068492.1593891687
2021-05-26,1030716.5227637878,1073371.8188457517
2021-05-27,1031885.6264624179,1077002.605527737
2021-05-28,1029554.5964661288,1081189.8509587261
2021-05-31,1033056.1013515566,1090199.0412617421
2021-06-01,1035168.2625338368,1088884.4044486755
2021-06-02,1039661.8853391022,1094147.2984060552
2021-06-03,1043625.7995092692,1102905.104263369
2021-06-04,1046779.1811271738,1104009.6503293072
2021-06-07,1046233.0344111668,1111077.71482121
2021-06-08,1045830.5531162482,1112470.6728208498
2021-06-09,1044181.8642489964,1104215.7163494793
2021-06-10,1048537.2955385286,1114172.810345287
2021-06-11,1051396.527257558,1118017.9539849747
2021-06-14,1049456.6774676538,1117218.4822223382
2021-06-15,1050216.5522446663,1121640.6107185078
2021-06-16,1046364.6704646451,1113628.747755309
2021-06-17,1042388.5439787215,1106585.4755814583
2021-06-18,1042697.768085585,1103403.7679332776
2021-06-21,1044705.136769329,1109136.5085155575
2021-06-22,1046091.7318307707,1112021.4327979668
2021-06-23,1044353.300203226,1106437.043651303
2021-06-24,1045950.4104872601,1110138.0215714094
2021-06-25,1048470.4896585699,1116002.692703323
2021-06-28,1049476.6104433576,1115479.2367153622
2021-06-29,1049462.3471980835,1111267.2794608604
2021-06-30,1048270.7710355448,1110574.8654352664
2021-07-01,1048575.684446384,1108971.6556994198
2021-07-02,1047262.7749961785,1112297.6095617209
2021-07-05,1048083.4021275791,1119823.1245194979
2021-07-06,1048168.2064300085,1118867.010383715
2021-07-07,1050290.1305763733,1123552.9194846128
2021-07-08,1047977.503842301,1115450.4196703539
2021-07-09,1050271.907397928,1115058.8942320268
2021-07-12,1050554.267296507,1116793.954022968
2021-07-13,1051419.3527052766,1123375.670509449
2021-07-14,1052981.136871799,1126033.922169669
2021-07-15,1052792.6080769473,1130917.6868477475
2021-07-16,1052968.4902351685,1132731.067825262
2021-07-19,1052161.2985605057,1122633.8328368296
2021-07-20,1050359.4539479527,1112392.3516342766
2021-07-22,1054387.4414985997,1126784.050779819
