date,symbol,decision,reason
2021-05-03,TITAN,REDUCE,exposure_floor_uptrend
2021-05-06,POWERGRID,REDUCE,exposure_floor_uptrend
2021-05-07,POWERGRID,REDUCE,exposure_floor_uptrend
2021-05-10,POWERGRID,REDUCE,exposure_floor_uptrend
2021-05-10,TATACONSUM,REDUCE,exposure_floor_uptrend
2021-05-11,POWERGRID,REDUCE,exposure_floor_uptrend
2021-05-11,TATACONSUM,REDUCE,exposure_floor_uptrend
2021-05-12,TATACONSUM,REDUCE,exposure_floor_uptrend
2021-05-12,TECHM,REDUCE,exposure_floor_uptrend
2021-05-14,TECHM,REDUCE,exposure_floor_uptrend
2021-05-17,TECHM,REDUCE,exposure_floor_uptrend
2021-05-18,TECHM,REDUCE,exposure_floor_uptrend
2021-05-19,ITC,REDUCE,exposure_floor_uptrend
2021-05-19,TECHM,REDUCE,exposure_floor_uptrend
2021-05-19,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-05-20,ITC,REDUCE,exposure_floor_uptrend
2021-05-20,INFY,REDUCE,exposure_floor_uptrend
2021-05-20,TECHM,REDUCE,exposure_floor_uptrend
2021-05-21,GRASIM,REDUCE,exposure_floor_uptrend
2021-05-21,ITC,REDUCE,exposure_floor_uptrend
2021-05-21,INFY,REDUCE,exposure_floor_uptrend
2021-05-21,TCS,REDUCE,exposure_floor_uptrend
2021-05-21,TECHM,REDUCE,exposure_floor_uptrend
2021-05-24,GRASIM,REDUCE,exposure_floor_uptrend
2021-05-24,ITC,REDUCE,exposure_floor_uptrend
2021-05-24,INFY,REDUCE,exposure_floor_uptrend
2021-05-24,TCS,REDUCE,exposure_floor_uptrend
2021-05-24,TATACONSUM,REDUCE,exposure_floor_uptrend
2021-05-24,TECHM,REDUCE,exposure_floor_uptrend
2021-05-25,GRASIM,REDUCE,exposure_floor_uptrend
2021-05-25,ITC,REDUCE,exposure_floor_uptrend
2021-05-25,INFY,REDUCE,exposure_floor_uptrend
2021-05-25,TECHM,REDUCE,exposure_floor_uptrend
2021-05-25,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-05-26,GRASIM,REDUCE,exposure_floor_uptrend
2021-05-26,ITC,REDUCE,exposure_floor_uptrend
2021-05-26,TECHM,REDUCE,exposure_floor_uptrend
2021-05-26,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-05-27,GRASIM,REDUCE,exposure_floor_uptrend
2021-05-27,ITC,REDUCE,exposure_floor_uptrend
2021-05-27,TECHM,REDUCE,exposure_floor_uptrend
2021-05-27,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-05-28,ITC,REDUCE,exposure_floor_uptrend
2021-05-28,TECHM,REDUCE,exposure_floor_uptrend
2021-05-28,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-05-31,ITC,REDUCE,exposure_floor_uptrend
2021-05-31,TECHM,REDUCE,exposure_floor_uptrend
2021-05-31,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-01,ITC,REDUCE,exposure_floor_uptrend
2021-06-01,TECHM,REDUCE,exposure_floor_uptrend
2021-06-01,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-02,ITC,REDUCE,exposure_floor_uptrend
2021-06-02,TECHM,REDUCE,exposure_floor_uptrend
2021-06-02,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-03,ITC,REDUCE,exposure_floor_uptrend
2021-06-03,TECHM,REDUCE,exposure_floor_uptrend
2021-06-03,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-04,ITC,REDUCE,exposure_floor_uptrend
2021-06-04,TECHM,REDUCE,exposure_floor_uptrend
2021-06-04,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-07,ITC,REDUCE,exposure_floor_uptrend
2021-06-07,TECHM,REDUCE,exposure_floor_uptrend
2021-06-07,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-08,ITC,REDUCE,exposure_floor_uptrend
2021-06-08,TECHM,REDUCE,exposure_floor_uptrend
2021-06-08,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-09,ITC,REDUCE,exposure_floor_uptrend
2021-06-09,TECHM,REDUCE,exposure_floor_uptrend
2021-06-09,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-10,ITC,REDUCE,exposure_floor_uptrend
2021-06-10,TECHM,REDUCE,exposure_floor_uptrend
2021-06-10,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-11,ITC,REDUCE,exposure_floor_uptrend
2021-06-11,TECHM,REDUCE,exposure_floor_uptrend
2021-06-11,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-14,ADANIPORTS,REDUCE,exposure_floor_uptrend
2021-06-14,ITC,REDUCE,exposure_floor_uptrend
2021-06-14,TECHM,REDUCE,exposure_floor_uptrend
2021-06-14,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-15,ADANIPORTS,REDUCE,exposure_floor_uptrend
2021-06-15,ITC,REDUCE,exposure_floor_uptrend
2021-06-15,TECHM,REDUCE,exposure_floor_uptrend
2021-06-15,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-16,ADANIPORTS,EXIT,exposure_floor_uptrend
2021-06-16,ITC,REDUCE,exposure_floor_uptrend
2021-06-16,TECHM,REDUCE,exposure_floor_uptrend
2021-06-16,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-17,ADANIENT,EXIT,exposure_floor_uptrend
2021-06-17,ADANIPORTS,EXIT,exposure_floor_uptrend
2021-06-17,HINDALCO,REDUCE,exposure_floor_uptrend
2021-06-17,ITC,REDUCE,exposure_floor_uptrend
2021-06-17,TECHM,REDUCE,exposure_floor_uptrend
2021-06-17,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-18,ADANIENT,EXIT,exposure_floor_uptrend
2021-06-18,ADANIPORTS,EXIT,exposure_floor_uptrend
2021-06-18,HINDALCO,REDUCE,exposure_floor_uptrend
2021-06-18,ITC,REDUCE,exposure_floor_uptrend
2021-06-18,TECHM,REDUCE,exposure_floor_uptrend
2021-06-18,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-21,ADANIENT,EXIT,exposure_floor_uptrend
2021-06-21,ADANIPORTS,EXIT,exposure_floor_uptrend
2021-06-21,HINDALCO,REDUCE,exposure_floor_uptrend
2021-06-21,ITC,REDUCE,exposure_floor_uptrend
2021-06-21,TECHM,REDUCE,exposure_floor_uptrend
2021-06-21,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-22,ADANIENT,EXIT,exposure_floor_uptrend
2021-06-22,ADANIPORTS,EXIT,exposure_floor_uptrend
2021-06-22,HINDALCO,REDUCE,exposure_floor_uptrend
2021-06-22,ITC,REDUCE,exposure_floor_uptrend
2021-06-22,TECHM,REDUCE,exposure_floor_uptrend
2021-06-22,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-23,ADANIENT,EXIT,exposure_floor_uptrend
2021-06-23,ADANIPORTS,EXIT,exposure_floor_uptrend
2021-06-23,HINDALCO,REDUCE,exposure_floor_uptrend
2021-06-23,ITC,REDUCE,exposure_floor_uptrend
2021-06-23,SUNPHARMA,REDUCE,exposure_floor_uptrend
2021-06-23,TECHM,REDUCE,exposure_floor_uptrend
2021-06-23,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-24,ADANIENT,EXIT,exposure_floor_uptrend
2021-06-24,ADANIPORTS,EXIT,exposure_floor_uptrend
2021-06-24,APOLLOHOSP,REDUCE,exposure_floor_uptrend
2021-06-24,HINDALCO,REDUCE,exposure_floor_uptrend
2021-06-24,ITC,REDUCE,exposure_floor_uptrend
2021-06-24,SUNPHARMA,REDUCE,exposure_floor_uptrend
2021-06-24,TECHM,REDUCE,exposure_floor_uptrend
2021-06-24,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-25,ADANIENT,EXIT,exposure_floor_uptrend
2021-06-25,ADANIPORTS,EXIT,exposure_floor_uptrend
2021-06-25,HINDALCO,REDUCE,exposure_floor_uptrend
2021-06-25,ITC,REDUCE,exposure_floor_uptrend
2021-06-25,JSWSTEEL,REDUCE,exposure_floor_uptrend
2021-06-25,SUNPHARMA,REDUCE,exposure_floor_uptrend
2021-06-25,TECHM,REDUCE,exposure_floor_uptrend
2021-06-25,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-28,ADANIENT,EXIT,exposure_floor_uptrend
2021-06-28,ADANIPORTS,EXIT,exposure_floor_uptrend
2021-06-28,HINDALCO,REDUCE,exposure_floor_uptrend
2021-06-28,ITC,REDUCE,exposure_floor_uptrend
2021-06-28,JSWSTEEL,REDUCE,exposure_floor_uptrend
2021-06-28,SUNPHARMA,REDUCE,exposure_floor_uptrend
2021-06-28,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-29,ADANIENT,EXIT,exposure_floor_uptrend
2021-06-29,ADANIPORTS,EXIT,exposure_floor_uptrend
2021-06-29,HINDALCO,REDUCE,exposure_floor_uptrend
2021-06-29,ITC,REDUCE,exposure_floor_uptrend
2021-06-29,JSWSTEEL,REDUCE,exposure_floor_uptrend
2021-06-29,SUNPHARMA,REDUCE,exposure_floor_uptrend
2021-06-29,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-06-30,ADANIENT,EXIT,exposure_floor_uptrend
2021-06-30,ADANIPORTS,EXIT,exposure_floor_uptrend
2021-06-30,HINDALCO,REDUCE,exposure_floor_uptrend
2021-06-30,ITC,REDUCE,exposure_floor_uptrend
2021-06-30,JSWSTEEL,REDUCE,exposure_floor_uptrend
2021-06-30,SUNPHARMA,REDUCE,exposure_floor_uptrend
2021-06-30,ULTRACEMCO,REDUCE,exposure_floor_uptrend
2021-07-01,ADANIENT,EXIT,exposure_floor_uptrend
