date,symbol,decision
2021-04-22,ASIANPAINT,EXIT
2021-04-22,AXISBANK,EXIT
2021-04-22,BAJAJ-AUTO,EXIT
2021-04-22,BAJFINANCE,EXIT
2021-04-22,BEL,EXIT
2021-04-22,BHARTIARTL,EXIT
2021-04-22,COALINDIA,EXIT
2021-04-22,DRREDDY,EXIT
2021-04-22,EICHERMOT,EXIT
2021-04-22,HDFCBANK,EXIT
2021-04-22,HDFCLIFE,REDUCE
2021-04-22,HINDUNILVR,EXIT
2021-04-22,ICICIBANK,EXIT
2021-04-22,ITC,REDUCE
2021-04-22,INDIGO,EXIT
2021-04-22,KOTAKBANK,EXIT
2021-04-22,LT,EXIT
2021-04-22,M&M,EXIT
2021-04-22,MARUTI,EXIT
2021-04-22,MAXHEALTH,REDUCE
2021-04-22,NTPC,EXIT
2021-04-22,NESTLEIND,EXIT
2021-04-22,ONGC,EXIT
2021-04-22,RELIANCE,EXIT
2021-04-22,SHRIRAMFIN,EXIT
2021-04-22,SBIN,EXIT
2021-04-22,TCS,REDUCE
2021-04-22,TITAN,REDUCE
2021-04-22,TRENT,EXIT
2021-04-22,ULTRACEMCO,REDUCE
2021-04-26,HCLTECH,REDUCE
2021-04-26,HDFCLIFE,HOLD
2021-04-26,TECHM,REDUCE
2021-04-27,HDFCLIFE,REDUCE
2021-04-30,TITAN,HOLD
2021-05-04,TITAN,REDUCE
2021-05-06,TCS,HOLD
2021-05-10,TECHM,HOLD
2021-05-14,ITC,HOLD
2021-05-18,TITAN,HOLD
2021-05-18,ULTRACEMCO,HOLD
2021-06-14,MAXHEALTH,HOLD
2021-07-15,HCLTECH,HOLD
2021-08-23,ADANIENT,EXIT
2021-08-23,ADANIPORTS,EXIT
2021-08-23,CIPLA,REDUCE
2021-08-23,GRASIM,REDUCE
2021-08-23,HDFCLIFE,EXIT
2021-08-23,ITC,REDUCE
2021-08-23,JSWSTEEL,REDUCE
2021-08-23,POWERGRID,REDUCE
2021-09-16,ITC,HOLD
2021-09-29,POWERGRID,HOLD
2021-10-05,ETERNAL,REDUCE
2021-10-21,GRASIM,HOLD
2021-11-22,APOLLOHOSP,EXIT
2021-11-22,CIPLA,EXIT
2021-11-22,HCLTECH,EXIT
2021-11-22,HINDALCO,EXIT
2021-11-22,ITC,EXIT
2021-11-22,JSWSTEEL,EXIT
2021-11-22,MAXHEALTH,EXIT
2021-11-22,SBILIFE,REDUCE
2021-11-22,SUNPHARMA,REDUCE
2021-11-22,TCS,REDUCE
2021-11-22,TATACONSUM,REDUCE
2021-11-22,TATASTEEL,EXIT
2021-11-22,WIPRO,REDUCE
2021-11-24,INFY,REDUCE
2021-11-24,ULTRACEMCO,REDUCE
2021-11-25,INFY,HOLD
2021-12-06,BAJAJFINSV,REDUCE
2021-12-06,TATACONSUM,EXIT
2021-12-17,BAJAJFINSV,EXIT
2021-12-17,WIPRO,HOLD
2021-12-22,SUNPHARMA,HOLD
2021-12-23,TCS,HOLD
2021-12-24,SUNPHARMA,REDUCE
2021-12-24,TITAN,REDUCE
2021-12-27,SUNPHARMA,HOLD
2021-12-28,GRASIM,REDUCE
2021-12-28,SBILIFE,HOLD
2021-12-30,TITAN,HOLD
2021-12-31,ULTRACEMCO,HOLD
2022-01-05,GRASIM,HOLD
2022-01-24,GRASIM,REDUCE
2022-01-24,TECHM,EXIT
2022-01-24,ULTRACEMCO,EXIT
2022-01-24,WIPRO,EXIT
2022-01-25,TITAN,REDUCE
2022-01-27,INFY,REDUCE
2022-02-01,TITAN,HOLD
2022-02-08,SBILIFE,REDUCE
2022-02-09,GRASIM,HOLD
2022-02-11,GRASIM,REDUCE
2022-02-14,SBILIFE,EXIT
2022-02-24,GRASIM,EXIT
2022-02-24,TCS,EXIT
2022-03-09,INFY,HOLD
2022-04-07,TITAN,REDUCE
2022-04-08,TITAN,HOLD
2022-04-13,INFY,REDUCE
2022-04-18,INFY,EXIT
2022-04-29,TITAN,REDUCE
2022-05-04,TITAN,EXIT
2022-05-31,SUNPHARMA,REDUCE
2022-06-13,SUNPHARMA,EXIT
2022-06-20,POWERGRID,EXIT
2023-02-17,ETERNAL,EXIT
2023-11-02,JIOFIN,REDUCE
2025-12-10,JIOFIN,EXIT
2025-12-29,TMPV,REDUCE
