,equity,benchmark,exposure
2021-04-22,1007341.8785255025,999999.9999999999,0.9404373020926867
2021-04-23,1002973.2165722146,997819.8054076714,0.39906892855445614
2021-04-26,1005966.3977914853,1006989.7433053295,0.4008569560681742
2021-04-27,1010097.3271222636,1018999.2065653277,0.38397669288318087
2021-04-28,1011494.8061117064,1031808.3025770406,0.379807372611101
2021-04-29,1016805.6422176121,1033032.3025390472,0.383046675444797
2021-04-30,1015084.7159204287,1019147.5580009439,0.3820007221527123
2021-05-03,1019825.3807676866,1021694.5662080866,0.38487349577393365
2021-05-04,1016475.9164459204,1013880.5588220686,0.38284654732789275
2021-05-05,1019933.6740826742,1023157.6349513084,0.3804338371698394
2021-05-06,1023963.1512789201,1030485.3748264436,0.3828719402613145
2021-05-07,1029066.1704623867,1035529.8066046252,0.3859322063723722
2021-05-10,1033496.4364694657,1044333.0113820082,0.3885645170182067
2021-05-11,1031613.9825690666,1042053.8890010893,0.387448790468131
2021-05-12,1025134.4343277253,1033456.8307384173,0.3835770493778451
2021-05-14,1020089.349564634,1028033.1891863957,0.3805283889471379
2021-05-17,1024118.0868852773,1044514.2850841284,0.3829653036257156
2021-05-18,1029064.750608304,1058279.4952316242,0.3859313591111447
2021-05-19,1028774.2511076857,1055798.492546568,0.38575796185384414
2021-05-20,1024452.0910881256,1049818.4727400816,0.3831664767051452
2021-05-21,1026704.5461087252,1064770.574867045,0.3845197284967005
2021-05-24,1025580.8924801606,1068446.8409636386,0.38384539198608936
2021-05-25,1027643.2451119827,1068492.1593891687,0.3850819379211607
2021-05-26,1028933.3703380997,1073371.8188457517,0.3858529512119651
2021-05-27,1031121.0029024718,1077002.605527737,0.387155929310035
2021-05-28,1030298.0052132191,1081189.8509587261,0.38666639205819325
2021-05-31,1033219.5760176925,1090199.0412617421,0.3884006773969125
2021-06-01,1034837.4927807346,1088884.4044486755,0.389356882408045
2021-06-02,1039394.3783501533,1094147.2984060552,0.3920340479465353
2021-06-03,1042847.8175421862,1102905.104263369,0.39404735555568515
2021-06-04,1046514.6209741633,1104009.6503293072,0.3961705071980347
2021-06-07,1047766.7499558098,1111077.71482121,0.3968921109404154
2021-06-08,1047914.6584423883,1112470.6728208498,0.3969772369326855
2021-06-09,1045898.9936439435,1104215.7163494793,0.39581508670253673
2021-06-10,1049654.1641526227,1114172.810345287,0.39797657707306766
2021-06-11,1052350.8059964709,1118017.9539849747,0.3995192580345786
2021-06-14,1049533.701456331,1117218.4822223382,0.39790747842034596
2021-06-15,1049182.2614865687,1121640.6107185078,0.3977057981352846
2021-06-16,1043114.6276044274,1113628.747755309,0.3942023474026989
2021-06-17,1038436.7369905319,1106585.4755814583,0.3914733846724149
2021-06-18,1040536.1196018727,1103403.7679332776,0.39270114617986324
2021-06-21,1043371.1783892951,1109136.5085155575,0.39435130480775654
