date,symbol,decision
2021-04-22,AXISBANK,EXIT
2021-04-22,BAJAJ-AUTO,EXIT
2021-04-22,BAJFINANCE,EXIT
2021-04-22,BEL,EXIT
2021-04-22,BHARTIARTL,EXIT
2021-04-22,COALINDIA,EXIT
2021-04-22,DRREDDY,REDUCE
2021-04-22,EICHERMOT,EXIT
2021-04-22,HDFCBANK,EXIT
2021-04-22,HDFCLIFE,REDUCE
2021-04-22,ICICIBANK,EXIT
2021-04-22,ITC,REDUCE
2021-04-22,INDIGO,EXIT
2021-04-22,KOTAKBANK,EXIT
2021-04-22,LT,EXIT
2021-04-22,M&M,EXIT
2021-04-22,MARUTI,EXIT
2021-04-22,MAXHEALTH,REDUCE
2021-04-22,NESTLEIND,EXIT
2021-04-22,ONGC,REDUCE
2021-04-22,RELIANCE,EXIT
2021-04-22,SHRIRAMFIN,REDUCE
2021-04-22,SBIN,EXIT
2021-04-22,TCS,REDUCE
2021-04-22,TITAN,REDUCE
2021-04-22,ULTRACEMCO,REDUCE
2021-04-23,SHRIRAMFIN,HOLD
2021-04-26,HCLTECH,REDUCE
2021-04-26,HDFCLIFE,HOLD
2021-04-27,HDFCLIFE,REDUCE
2021-04-28,INDIGO,REDUCE
2021-04-28,SHRIRAMFIN,REDUCE
2021-04-29,INDIGO,HOLD
2021-04-30,ONGC,HOLD
2021-04-30,TITAN,HOLD
2021-05-03,TECHM,REDUCE
2021-05-04,BAJFINANCE,REDUCE
2021-05-04,BEL,REDUCE
2021-05-04,TITAN,REDUCE
2021-05-05,BEL,HOLD
2021-05-05,TRENT,REDUCE
2021-05-06,TCS,HOLD
2021-05-07,COALINDIA,REDUCE
2021-05-07,NTPC,REDUCE
2021-05-10,COALINDIA,HOLD
2021-05-10,NTPC,HOLD
2021-05-10,NESTLEIND,REDUCE
2021-05-10,POWERGRID,REDUCE
2021-05-10,TECHM,HOLD
2021-05-11,TATACONSUM,REDUCE
2021-05-12,POWERGRID,HOLD
2021-05-14,ITC,HOLD
2021-05-14,TATACONSUM,HOLD
2021-05-17,ICICIBANK,REDUCE
2021-05-17,SHRIRAMFIN,HOLD
2021-05-17,TECHM,REDUCE
2021-05-18,BAJAJ-AUTO,REDUCE
2021-05-18,BAJFINANCE,HOLD
2021-05-18,ICICIBANK,HOLD
2021-05-18,TITAN,HOLD
2021-05-18,TRENT,EXIT
2021-05-18,ULTRACEMCO,HOLD
2021-05-19,BAJAJ-AUTO,HOLD
2021-05-19,NESTLEIND,HOLD
2021-05-24,SBIN,REDUCE
2021-05-24,TCS,REDUCE
2021-05-24,TATACONSUM,REDUCE
2021-05-25,DRREDDY,HOLD
2021-05-25,SBIN,HOLD
2021-05-25,TCS,HOLD
2021-05-25,TATACONSUM,HOLD
2021-05-26,ITC,REDUCE
2021-06-02,ULTRACEMCO,REDUCE
2021-06-03,RELIANCE,REDUCE
2021-06-04,HINDUNILVR,REDUCE
2021-06-04,LT,REDUCE
2021-06-07,LT,HOLD
2021-06-10,TRENT,REDUCE
2021-06-11,TRENT,HOLD
2021-06-14,ADANIPORTS,REDUCE
2021-06-14,MAXHEALTH,HOLD
2021-06-18,AXISBANK,REDUCE
2021-06-18,EICHERMOT,REDUCE
2021-06-18,HINDALCO,REDUCE
2021-06-18,SHRIRAMFIN,REDUCE
2021-06-21,ADANIPORTS,EXIT
2021-06-22,AXISBANK,HOLD
2021-06-23,EICHERMOT,HOLD
2021-06-23,MARUTI,REDUCE
2021-06-23,SUNPHARMA,REDUCE
2021-06-24,APOLLOHOSP,REDUCE
2021-06-25,APOLLOHOSP,HOLD
2021-06-28,TECHM,HOLD
2021-07-02,RELIANCE,HOLD
2021-07-08,ULTRACEMCO,HOLD
2021-07-12,TCS,REDUCE
2021-07-13,SHRIRAMFIN,HOLD
2021-07-15,HCLTECH,HOLD
2021-07-22,MARUTI,HOLD
2021-07-22,SHRIRAMFIN,REDUCE
2021-07-26,RELIANCE,REDUCE
2021-07-28,BHARTIARTL,REDUCE
2021-07-28,CIPLA,REDUCE
2021-07-29,BHARTIARTL,HOLD
2021-07-29,HINDALCO,HOLD
2021-07-30,SUNPHARMA,HOLD
2021-08-02,AXISBANK,REDUCE
2021-08-05,RELIANCE,HOLD
2021-08-10,TCS,HOLD
2021-08-12,SHRIRAMFIN,EXIT
2021-08-16,RELIANCE,REDUCE
2021-08-17,HINDUNILVR,HOLD
2021-08-23,HDFCBANK,REDUCE
2021-08-23,HDFCLIFE,EXIT
2021-08-23,SBIN,REDUCE
2021-08-24,HDFCBANK,HOLD
2021-08-27,BAJAJ-AUTO,REDUCE
2021-08-30,ADANIPORTS,REDUCE
2021-08-30,COALINDIA,EXIT
2021-08-31,DRREDDY,EXIT
2021-09-06,RELIANCE,HOLD
2021-09-15,BAJAJ-AUTO,EXIT
2021-09-15,COALINDIA,REDUCE
2021-09-15,EICHERMOT,EXIT
2021-09-16,HDFCLIFE,REDUCE
2021-09-16,ITC,HOLD
2021-09-16,MARUTI,EXIT
2021-09-17,KOTAKBANK,REDUCE
2021-09-17,ONGC,REDUCE
2021-09-20,ONGC,HOLD
2021-09-22,COALINDIA,HOLD
2021-09-23,NTPC,REDUCE
2021-09-28,NTPC,HOLD
2021-10-05,ETERNAL,REDUCE
2021-10-06,KOTAKBANK,HOLD
2021-10-07,M&M,REDUCE
2021-10-07,NESTLEIND,REDUCE
2021-10-11,EICHERMOT,REDUCE
2021-10-11,GRASIM,REDUCE
2021-10-12,EICHERMOT,HOLD
2021-10-13,ICICIBANK,REDUCE
2021-10-14,TCS,REDUCE
2021-10-14,TATACONSUM,REDUCE
2021-10-18,ADANIPORTS,HOLD
2021-10-18,M&M,HOLD
2021-10-20,SBIN,HOLD
2021-10-21,GRASIM,HOLD
2021-10-21,SHRIRAMFIN,REDUCE
2021-10-25,AXISBANK,HOLD
2021-10-25,ICICIBANK,HOLD
2021-10-29,MARUTI,REDUCE
2021-10-29,ULTRACEMCO,REDUCE
2021-11-01,AXISBANK,REDUCE
2021-11-01,MARUTI,HOLD
2021-11-02,SHRIRAMFIN,HOLD
2021-11-08,HDFCBANK,REDUCE
2021-11-08,ULTRACEMCO,HOLD
2021-11-12,AXISBANK,EXIT
2021-11-17,RELIANCE,REDUCE
2021-11-29,CIPLA,HOLD
2021-12-07,NESTLEIND,HOLD
2021-12-23,TCS,HOLD
2021-12-30,DRREDDY,REDUCE
2021-12-30,RELIANCE,EXIT
2021-12-31,TATACONSUM,EXIT
2022-01-03,ICICIBANK,REDUCE
2022-01-04,ICICIBANK,HOLD
2022-01-11,ADANIPORTS,REDUCE
2022-01-14,ADANIPORTS,HOLD
2022-01-17,COALINDIA,REDUCE
2022-01-18,RELIANCE,REDUCE
2022-01-19,COALINDIA,HOLD
2022-01-19,RELIANCE,HOLD
2022-01-19,ULTRACEMCO,REDUCE
2022-01-25,AXISBANK,REDUCE
2022-02-01,ADANIPORTS,REDUCE
2022-02-02,ADANIPORTS,HOLD
2022-02-02,ULTRACEMCO,EXIT
2022-03-17,ADANIPORTS,REDUCE
2022-03-17,TATACONSUM,REDUCE
2022-03-17,TECHM,EXIT
2022-03-22,TCS,EXIT
2022-03-24,TCS,REDUCE
2022-03-24,TATACONSUM,EXIT
2022-03-28,ADANIPORTS,EXIT
2022-03-28,BAJAJ-AUTO,REDUCE
2022-03-28,DRREDDY,EXIT
2022-03-29,ADANIPORTS,REDUCE
2022-03-29,AXISBANK,EXIT
2022-03-29,ICICIBANK,EXIT
2022-03-30,AXISBANK,REDUCE
2022-03-30,EICHERMOT,EXIT
2022-03-31,AXISBANK,HOLD
2022-03-31,TATACONSUM,REDUCE
2022-04-01,APOLLOHOSP,EXIT
2022-04-04,SBIN,REDUCE
2022-04-06,ADANIPORTS,HOLD
2022-04-06,SBIN,HOLD
2022-04-11,APOLLOHOSP,REDUCE
2022-04-11,BAJFINANCE,REDUCE
2022-04-11,HDFCBANK,EXIT
2022-04-21,EICHERMOT,REDUCE
2022-04-21,HDFCLIFE,EXIT
2022-05-04,APOLLOHOSP,EXIT
2022-05-04,ASIANPAINT,EXIT
2022-05-04,AXISBANK,EXIT
2022-05-04,BAJAJ-AUTO,EXIT
2022-05-04,BAJFINANCE,EXIT
2022-05-04,BAJAJFINSV,EXIT
2022-05-04,EICHERMOT,EXIT
2022-05-04,GRASIM,EXIT
2022-05-04,HCLTECH,EXIT
2022-05-04,HINDALCO,EXIT
2022-05-04,HINDUNILVR,EXIT
2022-05-04,INFY,EXIT
2022-05-04,INDIGO,EXIT
2022-05-04,KOTAKBANK,EXIT
2022-05-04,LT,EXIT
2022-05-04,M&M,REDUCE
2022-05-04,MARUTI,EXIT
2022-05-04,MAXHEALTH,EXIT
2022-05-04,NESTLEIND,EXIT
2022-05-04,ONGC,EXIT
2022-05-04,SBILIFE,EXIT
2022-05-04,SHRIRAMFIN,EXIT
2022-05-04,SBIN,REDUCE
2022-05-04,TCS,EXIT
2022-05-04,TATASTEEL,EXIT
2022-05-04,TITAN,EXIT
2022-05-04,WIPRO,EXIT
2022-05-05,MAXHEALTH,REDUCE
2022-05-05,TATACONSUM,EXIT
2022-05-05,TATASTEEL,REDUCE
2022-05-06,CIPLA,EXIT
2022-05-06,MAXHEALTH,EXIT
2022-05-06,TATASTEEL,EXIT
2022-05-09,JSWSTEEL,EXIT
2022-05-09,SBIN,EXIT
2022-05-09,TRENT,EXIT
2022-05-10,ADANIPORTS,EXIT
2022-05-10,COALINDIA,EXIT
2022-05-11,BAJAJ-AUTO,REDUCE
2022-05-12,BAJAJ-AUTO,EXIT
2022-05-12,RELIANCE,EXIT
2022-05-13,BAJAJ-AUTO,REDUCE
2022-05-13,BHARTIARTL,EXIT
2022-05-16,BAJAJ-AUTO,HOLD
2022-05-16,EICHERMOT,REDUCE
2022-05-16,MAXHEALTH,REDUCE
2022-05-17,M&M,HOLD
2022-05-17,MAXHEALTH,EXIT
2022-05-18,MARUTI,REDUCE
2022-05-19,MARUTI,EXIT
2022-05-19,MAXHEALTH,REDUCE
2022-05-20,MARUTI,REDUCE
2022-05-20,MAXHEALTH,EXIT
2022-05-20,RELIANCE,REDUCE
2022-05-23,ASIANPAINT,REDUCE
2022-05-23,HINDUNILVR,REDUCE
2022-05-23,MARUTI,HOLD
2022-05-23,MAXHEALTH,REDUCE
2022-05-23,RELIANCE,HOLD
2022-05-24,ASIANPAINT,EXIT
2022-05-24,HINDUNILVR,EXIT
2022-05-24,KOTAKBANK,REDUCE
2022-05-24,MAXHEALTH,EXIT
2022-05-27,MAXHEALTH,REDUCE
2022-05-30,COALINDIA,REDUCE
2022-05-30,ICICIBANK,REDUCE
2022-05-30,MAXHEALTH,EXIT
2022-05-31,COALINDIA,HOLD
2022-05-31,KOTAKBANK,EXIT
2022-05-31,MAXHEALTH,REDUCE
2022-05-31,SBILIFE,REDUCE
2022-05-31,SUNPHARMA,REDUCE
2022-06-01,MAXHEALTH,EXIT
2022-06-02,MAXHEALTH,REDUCE
2022-06-02,SBILIFE,EXIT
2022-06-03,MAXHEALTH,EXIT
2022-06-07,ICICIBANK,EXIT
2022-06-09,SBILIFE,REDUCE
2022-06-10,ONGC,REDUCE
2022-06-13,SBILIFE,EXIT
2022-06-13,SUNPHARMA,EXIT
2022-06-14,ONGC,EXIT
2022-06-17,EICHERMOT,EXIT
2022-06-20,EICHERMOT,REDUCE
2022-06-20,NTPC,EXIT
2022-06-20,POWERGRID,EXIT
2022-06-22,RELIANCE,EXIT
2022-06-23,EICHERMOT,HOLD
2022-06-24,HINDUNILVR,REDUCE
2022-06-27,HINDUNILVR,EXIT
2022-06-27,MAXHEALTH,REDUCE
2022-06-28,HINDUNILVR,REDUCE
2022-06-28,MAXHEALTH,EXIT
2022-06-29,HINDUNILVR,EXIT
2022-06-30,SHRIRAMFIN,REDUCE
2022-07-01,COALINDIA,REDUCE
2022-07-01,SHRIRAMFIN,EXIT
2022-07-04,HINDUNILVR,REDUCE
2022-07-04,SHRIRAMFIN,REDUCE
2022-07-05,SHRIRAMFIN,EXIT
2022-07-06,NESTLEIND,REDUCE
2022-07-06,SHRIRAMFIN,REDUCE
2022-07-06,SBIN,REDUCE
2022-07-06,TRENT,REDUCE
2022-07-07,COALINDIA,HOLD
2022-07-07,ICICIBANK,REDUCE
2022-07-08,SBILIFE,REDUCE
2022-07-08,TATACONSUM,REDUCE
2022-07-11,DRREDDY,REDUCE
