date,symbol
2021-05-12,MAXHEALTH
2021-07-16,RELIANCE
2021-08-18,AXISBANK
2021-08-25,AXISBANK
2021-09-07,ADANIPORTS
2021-09-20,KOTAKBANK
2021-09-28,POWERGRID
2021-10-06,HDFCLIFE
2021-10-19,GRASIM
2021-10-27,SHRIRAMFIN
2021-11-09,ITC
2021-11-16,HCLTECH
2021-11-22,HDFCBANK
2021-11-22,BAJFINANCE
2021-11-25,ULTRACEMCO
2021-12-03,BEL
2021-12-13,ULTRACEMCO
2021-12-13,BAJFINANCE
2021-12-16,ULTRACEMCO
2021-12-16,TCS
2021-12-17,HDFCLIFE
2021-12-24,ULTRACEMCO
2022-01-18,EICHERMOT
2022-01-20,JSWSTEEL
2022-02-11,AXISBANK
2022-02-17,CIPLA
2022-02-21,HDFCBANK
2022-02-23,INFY
2022-02-23,BEL
2022-03-03,APOLLOHOSP
2022-03-04,INFY
2022-04-13,TATACONSUM
2022-04-19,BAJAJ-AUTO
2022-04-22,M&M
2022-04-29,BAJAJ-AUTO
2022-07-07,HINDUNILVR
2022-07-07,SHRIRAMFIN
2022-07-07,ICICIBANK
2022-07-07,NESTLEIND
2022-07-07,SBIN
2022-07-07,TRENT
2022-07-08,SBILIFE
2022-07-08,TATACONSUM
2022-07-11,DRREDDY
2022-07-13,CIPLA
2022-07-13,MAXHEALTH
2022-07-13,SUNPHARMA
2022-07-21,LT
2022-07-21,ADANIPORTS
2022-07-22,AXISBANK
2022-07-26,ASIANPAINT
2022-07-28,BAJFINANCE
2022-08-01,JSWSTEEL
2022-08-01,HDFCBANK
2022-08-01,TITAN
2022-08-11,BAJAJFINSV
2022-08-22,ASIANPAINT
2022-08-26,BAJFINANCE
2022-09-06,GRASIM
2022-09-21,TATASTEEL
2022-09-23,APOLLOHOSP
2022-09-27,ULTRACEMCO
2022-10-11,HDFCBANK
2022-10-14,BAJFINANCE
2022-10-19,NESTLEIND
2022-11-18,HCLTECH
2022-12-09,HINDALCO
2022-12-15,ONGC
2022-12-21,TATASTEEL
2022-12-30,TCS
2023-01-04,NTPC
2023-01-10,M&M
2023-01-24,TECHM
2023-02-02,BAJAJ-AUTO
2023-02-21,BAJAJ-AUTO
2023-02-24,BHARTIARTL
2023-03-09,APOLLOHOSP
2023-03-14,AXISBANK
2023-04-05,TRENT
2023-04-05,TITAN
2023-04-05,TECHM
2023-04-05,ICICIBANK
2023-04-05,NESTLEIND
2023-04-05,SHRIRAMFIN
2023-04-05,GRASIM
2023-04-05,HINDUNILVR
2023-04-05,BEL
2023-04-05,AXISBANK
2023-04-10,BHARTIARTL
2023-04-11,KOTAKBANK
2023-04-11,JSWSTEEL
2023-04-13,APOLLOHOSP
2023-04-24,HDFCLIFE
2023-04-24,SBIN
2023-04-28,EICHERMOT
2023-05-02,TATACONSUM
2023-06-19,BAJFINANCE
2023-06-22,SBILIFE
2023-07-07,BAJAJFINSV
2023-08-01,CIPLA
2023-08-11,HINDALCO
2023-09-12,INFY
2023-09-20,TATACONSUM
2023-09-22,ADANIENT
2023-09-28,NESTLEIND
2023-10-03,APOLLOHOSP
2023-10-06,WIPRO
2023-10-12,INDIGO
2023-10-20,ICICIBANK
2023-10-23,CIPLA
2023-10-26,ADANIPORTS
2024-01-16,ADANIENT
2024-01-25,SBIN
2024-01-30,M&M
2024-01-30,AXISBANK
2024-01-30,EICHERMOT
2024-02-01,AXISBANK
2024-02-05,M&M
2024-02-28,TECHM
2024-03-12,TECHM
2024-03-13,AXISBANK
2024-03-13,HDFCLIFE
2024-04-04,TITAN
2024-04-12,TCS
2024-04-15,AXISBANK
2024-04-15,TATACONSUM
2024-04-18,TCS
