date,symbol,decision,reason
2021-04-22,TRENT,EXIT,exposure_floor
2021-07-23,NEWGEN,EXIT,exposure_floor
2021-12-02,TRIDENT,EXIT,exposure_floor
2021-12-03,TRIDENT,EXIT,exposure_floor
2021-12-06,CIPLA,EXIT,exposure_floor
2021-12-06,TATACONSUM,EXIT,exposure_floor
2021-12-06,TRENT,EXIT,exposure_floor
2021-12-06,TRIDENT,EXIT,exposure_floor
2021-12-07,TRIDENT,REDUCE,exposure_floor
2021-12-17,APOLLOHOSP,EXIT,exposure_floor
2021-12-17,BAJAJFINSV,EXIT,exposure_floor
2021-12-17,BHARTIARTL,REDUCE,exposure_floor
2021-12-17,ONGC,REDUCE,exposure_floor
2021-12-20,APOLLOHOSP,EXIT,exposure_floor
2021-12-20,BAJFINANCE,EXIT,exposure_floor
2021-12-20,BAJAJFINSV,EXIT,exposure_floor
2021-12-20,BHARTIARTL,REDUCE,exposure_floor
2021-12-20,ICICIBANK,EXIT,exposure_floor
2021-12-20,IEX,EXIT,exposure_floor
2021-12-20,JBMA,EXIT,exposure_floor
2021-12-20,JSWSTEEL,EXIT,exposure_floor
2021-12-20,M&M,EXIT,exposure_floor
2021-12-20,ONGC,EXIT,exposure_floor
2021-12-20,RELIANCE,EXIT,exposure_floor
2021-12-20,SBIN,EXIT,exposure_floor
2021-12-20,ZENTEC,EXIT,exposure_floor
2021-12-21,BAJFINANCE,EXIT,exposure_floor
2021-12-21,BAJAJFINSV,EXIT,exposure_floor
2021-12-21,BHARTIARTL,REDUCE,exposure_floor
2021-12-21,ICICIBANK,EXIT,exposure_floor
2021-12-21,IEX,EXIT,exposure_floor
2021-12-21,JSWSTEEL,EXIT,exposure_floor
2021-12-21,M&M,EXIT,exposure_floor
2021-12-21,ONGC,EXIT,exposure_floor
2021-12-21,SBIN,EXIT,exposure_floor
2021-12-21,ZENTEC,REDUCE,exposure_floor
2021-12-22,BAJAJFINSV,EXIT,exposure_floor
2021-12-22,BHARTIARTL,REDUCE,exposure_floor
2021-12-22,IEX,EXIT,exposure_floor
2021-12-22,JSWSTEEL,EXIT,exposure_floor
2021-12-22,M&M,EXIT,exposure_floor
2021-12-22,ONGC,EXIT,exposure_floor
2021-12-22,SBIN,EXIT,exposure_floor
2021-12-23,BAJAJFINSV,EXIT,exposure_floor
2021-12-23,BHARTIARTL,REDUCE,exposure_floor
2021-12-23,HINDALCO,EXIT,exposure_floor
2021-12-23,IEX,EXIT,exposure_floor
2021-12-23,JSWSTEEL,EXIT,exposure_floor
2021-12-23,M&M,EXIT,exposure_floor
2021-12-23,ONGC,EXIT,exposure_floor
2021-12-23,SBIN,EXIT,exposure_floor
2021-12-23,TTML,EXIT,exposure_floor
2021-12-24,BAJAJFINSV,EXIT,exposure_floor
2021-12-24,BHARTIARTL,REDUCE,exposure_floor
2021-12-24,HINDALCO,EXIT,exposure_floor
2021-12-24,IEX,EXIT,exposure_floor
2021-12-24,JSWSTEEL,EXIT,exposure_floor
2021-12-24,M&M,EXIT,exposure_floor
2021-12-24,ONGC,EXIT,exposure_floor
2021-12-24,SUNPHARMA,REDUCE,exposure_floor
2021-12-24,TTML,REDUCE,exposure_floor
2021-12-24,TITAN,REDUCE,exposure_floor
2021-12-27,BAJAJFINSV,EXIT,exposure_floor
2021-12-27,IEX,EXIT,exposure_floor
2021-12-27,JSWSTEEL,EXIT,exposure_floor
2021-12-27,M&M,EXIT,exposure_floor
2021-12-27,ONGC,EXIT,exposure_floor
2021-12-27,TITAN,REDUCE,exposure_floor
2021-12-28,BAJAJFINSV,EXIT,exposure_floor
2021-12-28,GRASIM,REDUCE,exposure_floor
